empresa,clave
/HEILER LABS/,HLA
/IZQUIERDO/,IAA
/LAB IZQUIERDO/,IAA
/LAB. IZQUIERDO/,IAA
/LABORATORIO IZQUIERDO/,IAA
/LABORATORIOS IZQUIERDO/,IAA
/IMAGEN/,IBA
/SOPRIMASA/,IBA
/INMUNO Q/,ICA
/ISA/,IDA
/INOLAB/,IEA
/ILSP/,IFA
/ISAT/,IGA
/GRUPO IDEARTE/,IHA
/IDEARTTE/,IHA
/INSTITUTO NACIONAL DE MIGRACION/,IIA
/INM/,IIA
/INFOCLINICS/,IKA
/JULIO CASTILLO/,JAA
/KARIN/,KAA
/DR. KARIN/,KAA
/DR KARIN/,KAA
/DOCTOR KARIN/,KAA
/KNC LOGISTIC/,KBA
/KARINA VAZQUEZ/,KCA
/KABLA/,KDA
/LABSIN/,LAA
/LAPCI/,LBA
/LAMBDAPI/,LCA
/LAB. CLINICO COAPA/,LDA
/LAB CLINICO COAPA/,LDA
/CLINICO COAPA/,LDA
/LAB. 24/,LEA
/LAB 24 ETIOPIA/,LEA
/LABORATORIO 24 ETIOPIA/,LEA
/LAB. CHIMALHUACAN/,LFA
/LAB CHIMALHUACAN/,LFA
/LABORATORIO CHIMALHUACAN/,LFA
/LAB. NEZAHUALCOYOTL/,LGA
/LAB NEZAHUALCOYOTL/,LGA
/LABORATORIO NEZAHUALCOYOTL/,LGA
/LAB. CIMA/,LHA
/LAB CIMA/,LHA
/LABORATORIO CIMA/,LHA
/LAGEM/,LIA
/LAB GENESIS/,LJA
/LABORATORIO GENESIS/,LJA
/LAB. GENESIS/,LJA
/GENESIS/,LJA
/LAB SIGLO XXI/,LKA
/LAB. SIGLO XXI/,LKA
/LABORATORIO SIGLO XXI/,LKA
/LITOPOS PRODUCCIONES IOU CELEBRITY 2/,LLA
/LITOPOS/,LLA
/LABKOB/,LNA
/LAB. CLINICO ALDAMA/,LPA
/LAB CLINICO ALDAMA/,LPA
/LIZBETH RIVERA/,LQA
/LAB CENSUR/,LRA
/LAB. CENSUR/,LRA
/LABORATORIO CENSUR/,LRA
/CENSUR/,LRA
/LABORATORIO MEDICO DE REFERENCIA CENSUR/,LRA
/DRA. LAURA PORTILLO TELLEZ/,LSA
/DRA LAURA PORTILLO TELLEZ/,LSA
/LAURA PORTILLO TELLEZ/,LSA
/DRA. LAURA PORTILLO/,LSA
/DRA LAURA PORTILLO/,LSA
/LAURA PORTILLO/,LSA
/LLISA/,LTA
/LAB 24 ERMITA/,LUA
/LAB 24 PUENTE BLANCO/,LWA
/LABORATORIO COLUMBIA BIOTEC/,LXA
/LONCHERIA LIMA-LIMON/,LYA
/LONCHERIA LIMA LIMON/,LYA
/LABORATORIO LUNA/,LZA
/LABORATORIO ALGENOS/,LAB
/MDS/,MAA
/MORENO/,MBA
/MEDIC/,MCA
/MDT/,MDA
/MEDIAC/,MEA
/MOBASA/,MFA
/MARCO MKT/,MGA
/MKT/,MGA
/MSD MERK/,MHA
/MSD/,MHA
/MEDIC PLUS/,MIA
/MTV M?XICO/,MJA
/MTV/,MJA
/MANUFACTURERA DE MEXICO/,MKA
/MANUFACTURERA DE MEXICANA/,MKA
/MEXORA LABORATORIOS CLINICOS/,MLA
/MEXORA/,MLA
/MEDICA PLUS/,MNA
/MKR/,MOA
/MK RENTAL SERVICE/,MOA
/MK RENTAL/,MOA
/MAG MEDICA/,MPA
/MADRAZO STUDIO SC/,MQA
/LABORATORIOS MEXORA/,MLA
/LABORATORIO MEXORA/,MLA
/MARIA ELENA RENATA TORRES ARANALDE/,MRA
/MARIA ELENA TORRES/,MRA
/MARIEL TORRES/,MRA
/MEDICAL COACHING/,MSA
/NULA/,NAA
/EMPRESA NULA/,NAA
/NOTARIA 122/,NBA
/NOTARIA 97/,NDA
/NOTARIA 222/,NEA
/NOTARIA 201/,NFA
/NOVAPLASTIC/,NGA
/NEOMEDICA/,NHA
/NORDI QC/,NIA
/NANOPHARMACIA/,NJA
/NANOPHARMA/,NJA
/NOMITEK/,NKA
/NUCLEO DIAGNOSTICO/,NNA
/NUCLEO DE DIAGNOSTICO/,NNA
/NAUTICAL SERVICES/,NPA
/OCHOA/,OAA
/ELAB OCHOA/,OAA
/LAB OCHOA/,OAA
/OLARTE Y AKLE/,OBA
/OLARTE/,OBA
/ONEST VALLEJO/,OCA
/ORIENTAL FILMS/,ODA
/OSCAR SIMON/,OEA
/PROYECTO ORIENTAL FILMS/,OFA
/OCEAN MANAGEMENT MEXICO/,OGA
/OMM/,OGA
/ORIENTAL FILMS ANDREA MIRANDA/,OHA
/ORIENTAL FILMS AM/,OHA
/PAP/,PAA
/LABORATORIOS PAP/,PAA
/LAB. PAP/,PAA
/LAB PAP/,PAA
/SAN PATRICIO/,PBA
/PATRICIO/,PBA
/PARTICULAR/,PCA
/PASTEUR/,PDA
/LAB. PASTEUR/,PDA
/LABORATORIO PASTEUR/,PDA
/LABORATORIOS PASTEUR/,PDA
/LAB PASTEUR/,PDA
/PARTICULAR ARA/,PEA
/PAUTA CREATIVA/,PFA
/PECSA/,PGA
/PRECISA/,PHA
/PIMIENTA FILMS/,PIA
/PROBION/,PJA
/PABLO DE LA VEGA ARIAS (ORIENTAL FILMS)/,PKA
/PABLO DE LA VEGA ARIAS/,PKA
/PABLO DE LA VEGA/,PKA
/PROYECTO PLAZA IZAZAGA/,PLA
/PLAZA IZAZAGA/,PLA
/PABLO ISRAEL ESPINOLA ALCAZAR/,PNA
/PABLO ESPINOLA ALCAZAR/,PNA
/PABLO ESPINOLA/,PNA
/PAMELA CALDERON/,POA
"/PCE TECNOLOGY DE JUAREZ, S.A. DE C.V./",PPA
/QUICK TEST/,QAA
/RICLER/,RAA
/RED MEDICA/,RBA
/ROCA INMUEBLES/,RCA
/REPUBLICA SANTA PROYECTO KOTEX/,RDA
/REPUBLICA SANTA PROYECTO PRIME VIDEO/,REA
/REPUBLICA SANTA (SANTOS FILMS)/,RFA
/REPUBLICA SANTA/,RFA
/STAR MEDICA LOMAS/,SAA
/STAR MEDICA LOMAS VERDES/,SAA
/LOMAS VERDES/,SAA
/SM LVM/,SAA
/LVM/,SAA
/STAR MEDICA TLALNEPANTLA/,SBA
/TLALNEPANTLA/,SBA
/SM TLN/,SBA
/SM TLALNEPANTLA/,SBA
/SINDICATO/,SCA
/SINDICATO DE MAESTROS/,SCA
/SOS/,SDA
/SOS HEALT CARE/,SDA
/SENOSIAIN/,SEA
/SAN MINA/,SFA
/SAN ISIDRO CUAUHTEMOC/,SGA
/SAN FRANCISCO/,SHA
/SAN ISIDRO XICO/,SIA
/ISIDRO XICO/,SIA
/SAN ISIDRO LOPEZ/,SJA
/ISIDRO LOPEZ/,SJA
/SAN ISIDRO IZTAPALAPA/,SKA
/ISIDRO IZTAPALAPA/,SKA
/SONORA LABS/,SLA
/HOSPITAL MAC/,SNA
/MAC/,SNA
/SAN ISIDRO CHALCO/,SOA
/ISIDRO CHALCO/,SOA
/SERVICIOS HEMATOLOGICOS/,SPA
/SERV. HEMATOLOGICOS/,SPA
/SERV HEMATOLOGICOS/,SPA
/SAN FRANCISCO CHIMALHUACAN/,SQA
/SAN ISIDRO HIDALGO/,SRA
/ISIDRO HIDALGO/,SRA
/SAN FRANCISCO/,SSA
/STEREN/,STA
/STAY SAFE/,SUA
/SAFE HEALTH/,SWA
/SEEGENE/,SXA
/SANDRA RIVAS/,SYA
/SEARS OPERADORA DE MEXICO S.A. DE C.V./,SZA
/SEARS OPERADORA DE MEXICO/,SZA
/SEARS DE MEXICO/,SZA
/SMART TEST/,SAB
/SNIBE MEXICO/,SBB
/SNIBE/,SBB
/LAB SANTA MONICA/,SCB
/LABORATORIO SANTA MONICA/,SCB
/SB FARMA/,SDB
/SANOVA LAB/,SEB
/SAMSUNG/,SGB
/SURROGACY/,SHB
/SURROGACY MEXICO/,SHB
/SECTOR FILMS/,SIB
/SENKALAB/,SJB
/TRAGALUZ/,TAA
/TMM/,TBA
/TAIFELDS/,TCA
/TSM/,TDA
/TOYOTA SARAGOZA/,TEA
/TOYOTA/,TEA
/TERAN TBWA/,TFA
/TEZCA MEXICO/,TGA
/TEZCA/,TGA
/THE INMIGRANT. PROYECTO YELLOW/,THA
/THE IMMIGRANT.PROYECTO LA OTRA NOCHE/,TIA
/TUTSI/,TJA
/UNIFIN/,UAA
/UNIDAD CLINICA DIAGNOSTICA/,UBA
/UK NEQAS/,UCA
/ULTRAMEDIX/,UDA
/VELAGO/,VAA
/SALUD VELAGO/,VAA
/VERTPHARMA/,VBA
/VITROCANCELES/,VCA
/25 KM PELI/,VDA
/20 DOCE PRODUCTORA/,VEA
/VEINTE DOCE PRODUCTORA/,VEA
/VALERIA ESPEJEL/,VFA
/VALERIA ASCENCIO/,VGA
/VICARIO/,VHA
/XINHUA/,XAA
/XIN POINT MEXICO/,XBA
/XIN POINT/,XBA
/ZAMORA/,ZAA
/SALUD Y VIDA/,ZAA
/SAT/,SFB
/INTELNESIS/,IJA
